Medium Square Cushion
Medium Square Cushion 2°Option
SQ PILLOW 1CM SEWN BY THE EDGE
RECT.PILL.1CM SEWN BY THE EDGE
Ottoman
Round Ottoman With Castors
Ottoman Second Option
Storage Ottoman
Large Round Ott.W/Legs 2°Opt.
Large Round Ottoman With Legs
Storage Ottoman 2°Option
LARGE OTTOMAN QUILTED
large square ottoman
ROUND OTTOMAN QUILTED
large square ottoman 2°option
Storage Ottoman W/Piston
Chair 1 Left Arm
Armless Chair
Chair 1 Right Arm
Armless Chair Left Terminal
Armless Chair Right Termin.
Corner Without Back Rest
Armchair
Loveseat
Sofa
2 Seat Sofa 1 Left Arm Facing
2 Seat Sofa 1 Right Arm Facing
Round Corner
Armchair and a Half
Large Sofa
Armchair With Electric Motion
Sofa With 2 Electric Motions
2Seater 1 Left Arm W/Elec.Mot.
2Seater 1Right Arm W/Elec.Mot.
Loveseat With 2Electric Motion
Shaped Ottoman With Legs
Loveseat A Half Leftarm Facing
Loveseat A Half Rightar.Facing
Corner Terminal Left
Corner Terminal Right
Sofa Bed W/Greenplus Mattress
Armless Chair And A Half
ARMCHAIR AND A HALF W/ELET.MOT
Sofa 2 Cush.W/2 Elec.Motion
2S.A/Half 1Left Arm W/Ele.Mot.
2S.A/Half 1Righ.Arm W/Ele.Mot.
Square Corner
Chaise Longue LAF
Chaise Longue RAF
Armchair Second Option
Loveseat Second Option
Sofa Second Option
Chair And A Half 1 Left Arm
Chair And A Half 1 Right Arm
Chaise Longue Laf 2^Option
Chaise Longue Raf 2^Option
Chair 1 Left Arm 2^Option
Armless Chair 2^Option
Chair 1 Right Arm 2^Option
ARMLESS CHAIR+½/ELECTR.MECHANI
ARMLESS CHAIR W/ELECTRIC MECC.
Armless Chair And A Half 2°Opt
Chair And Half 1Left Arm 2°Opt
Chair And Half 1Right Arm 2°Op
Loveseat W/2Electric Mot.2°Opt
Angle With Function
Chair 1Left Arm W/Elect.Motion
Chair 1Righ.Arm W/Elect.Motion
Chair+1/2 Seat Left Arm+El.Mot
Chair+1/2 Seat Right Ar+El.Mot
Armchair W/Elect.Mot. 2°Option
Sofa 2 Cush.W/2 Elec.Mot.2°Opt
Corner (Seat) 2°Option
Chair1/2 Se.Left Ar.El.Mot2°Op
Chair1/2 Se.Righ.Ar.El.Mot2°Op
Armless Chair W/Elec.Mec.2°Op
Chair 1Left Arm Ele.Mot.2°Op
Chair 1Right Arm Ele.Mot.2°Op
ARMLESS CHAIR+½/ELE.MECC.2°OPT
Angle With Function Sec.Option
Loveseat and a Half
Large Ottoman
Corner Chair Left Term.
Corner Chair Right Term.
2 SEAT SOFA+1/2 W/2 ELECT.MECH
Corner Chair Left Term.2°Opt.
Corner Chair Right Term.2°Opt.
Sofa 1 Left Arm Facing
Sofa 1 Right Arm Facing
Sofa 1 Left Arm W/Elect.Motion
Sofa 1Right Arm W/Elect.Motion
Chaise Longue Laf W/Elect.Mot.
Chaise Longue Raf W/Elect.Mot.
Sofa 1Left Arm W/El.Mot.2°Opt.
Sofa 1Right Arm W/El.Mot.2°Opt
2Se.A/Ha.1Lef.Ar W/El.Mot.2°Op
2Se.A/Ha.1Rig.Ar W/El.Mot.2°Op
2 Seater 1 Left Arm 2^Option
2 Seater 1 Right Arm 2^Option
Sofa 1Left Arm Facing 2^Option
Sofa 1Right Arm Facing 2^Optio
POL.GIREV.RCL BASE ELETT.BATT.
POL.GIREV.RCL C/BASE ELETTRICA
Large Sofa Second Option
Large Ottoman With Legs 2°Opt.
Loveseat And A Half 2°Opt.
Chair With Right Arm Shelf
Chair With Left Arm Shelf
Chair 1 Left Arm Rcl
Chair 1 Right Arm Rcl
Large Sofa W/Bed-Greenplus.Mat
Sofabed 1Lef.Arm Fac.Green.Mat
Sofabed 1Rig.Arm Fac.Green.Mat
Curved Shaped Connecting Arm
straight joining arm
armless chair + ½ / mechanism
ARMLESS CHAIR W/MECHANISM
Chair+1/2 Seat Left Arm+Mot
Chair+1/2 Seat Right Arm+Mot
Storage Chaise Longue Left Arm
Storage Chaise Longue Right Ar
Lar.Sofabed 1Lef.Arm Fa.Greenp
Lar.Sofabed 1Rig.Arm Fa.Greenp
BED 2S.MEMO.UNLINED MATR.CM140
BED 3S.MEMO.UNLINED MATR.CM160
3s.bed.lef.ar.mem.unl.mat.140
3s.bed.rig.ar.mem.unl.mat.140
3s.bed.lef.ar.mem.unl.mat.160
3s.bed.rig.ar.mem.unl.mat.160
Straight Arm No Reading Light
Curved Arm W/No Reading Light
Sofa Bed W/Greenpl.Mattr.2°op
Bed 2s.Mem.Unlin.Mat.cm140 2°o
Bed 3s.Mem.Unlin.Mat.cm160 2°o
Large Sofa W/Bed-Green.Mat.2°o
3St.Dis.2Cus.2Me.Triple Mot.El
3St.Disassem.2Me.Triple Mot.El
2St.Disassem.2Me.Triple Mot.El
Armless Chair 3Mot.Elet
Armless Chair½ 3Mot.Elet
Sofa 2Cush.2Me.Triple Mot.Ele
Chair 1/2 St Left Arm 3Mot
Chair 1/2 St Right Arm 3Mot
Armchair Triple Motion Elet
Sofa 2Me.Triple Motion Elet
Loveseat 2Me.Triple Motion Ele
3 SEAT DISAS.W/2 EL MEC 2° OPT
3Sdisas.W2C.&2elec.mech.2opt.
2 SEAT DISAS.W/2 EL MEC 2° OPT
Wedge Seat Corner
Sofa W/2 Electric Mot.2°Opt.
Swivel Chair
Chair 1Left Arm 3Mot.Elet
Chair 1Rght Arm 3Mot.Elet
2St.Disassembled W/2 El.Mot.
Sofa Disas.2 Cusch.W/2El.Mot
Chair 1Left Arm 3Mot.Elet.BT
Chair 1Rght Arm 3Mot.Elet.BT
Sof.2Cush.2Me.Triple Mot.El.BT
Chair 1/2 St Left Arm 3Mot.BT
Chair 1/2 St Rght Arm 3Mot.BT
Armchair Triple Motion Elet.BT
Loveseat 2Me.Triple Moti.El.BT
3St.Dis.2Cus.2Me.Tri.Mot.El.BT
2St.Disassem.2Me.Trip.Mo.El.BT
Corner Loves.Leftarm Facing
Corner Loves.Rightarm Fac.
Large Sofa 1 Left Arm Facing
Large Sofa 1 Right Arm Facing
2 Seater No Arms
WEDGE SEAT CORNER 2°OPTION
Press Back Swivel Metal Plate
3 Seater Sofa 3 Cushions XL
3 Seater Sofa 3 Cush.XL 2°Opt
Armless Chaise Longue
Left Corner
Right Corner
Sofa 1 Left Arm Facing W/Term.
Sofa 1Right Arm Facing W/Term.
2St.+1/2 Disassembled 2El.Mot.
2Seat.1Left Arm Disas.W/El.Mot
2Seat.1Righ Arm Disas.W/El.Mot
Sofabed 1 Left Arm Facing
Sofabed 1 Right Arm Facing
ARMLESS CL W/POWER SLIDINGBACK
ARMLESS CHAIR L/TER. SLID.BACK
ARMLESS CHAIR R/TER. SLID.BACK
CHAIR LFT ADJ.ARM SLIDING BACK
ARMLESS CHAIR SLIDING BACK
CHAIR RIGHT ADJ.ARM SLID.BACK
Armchair Double Motion Elet
Sofa 2Me.Double Motion Elet
Loveseat 2Me.Double Motion Ele
King Sw Armch Triple Mot.El
Queen Sw Armch Triple Mot.El
Headrest
Sofa 2Cus.W/Manual Adj Back
Sofa Left Arm W/Man Adj Back
Sofa Right Arm W/Man Adj Back
CORNER WITH TABLE TOP
LARGE ARMLESS CHAIR ADJ. BACK
L/ARMLESS CHAIR L/TER.ADJ.BACK
L/ARMLESS CHAIR R/TER.ADJ.BACK
